reconcile_column_name,mapping_column_name,reconcile_retrieved,reconcile_confirmed,table_name,reconcile_skippable,updated_date,mapping_logic,mapping_alias_name,mapping_column_type
register_partner,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
gender,profiles.gender,true,false,insight.ms_member,false,2025-10-10 00:00:00,,gender,
marital_status,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
job_title,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
city,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
postal_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_type,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
status_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
employee_id,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
created_date,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_number_merged,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_partner_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
iscall,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_cds,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_cds,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_cds,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_twd,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_ssp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_ssp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_ssp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_ssp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_cmg,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_cmg,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_cmg,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_cmg,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_expate,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_cds_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_rbs,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_rbs,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_rbs,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_b2s,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_b2s,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_pwb,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_pwb,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_ofm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_ofm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_consent_the1,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
etl_created_by,,false,false,insight.ms_member,true,2025-10-10 00:00:00,,,
etl_created_tms,,false,false,insight.ms_member,true,2025-10-10 00:00:00,,,
invalid_member_flag,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
invalid_type,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
hold_reason,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_date,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_ref_by_name,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_ref_by_id,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_channel,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_branch_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_mobile,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_cds,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_cds,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_rbs,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_rbs,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_ssp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_pwb,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_pwb,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_pwb,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
home_ph_country_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
type_of_housing,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
sub_district,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
district,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_cmg,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
th_title,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
eng_title,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
ever_consent_partner,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
dummy_flag,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
employee_bu_group,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
employee_bu,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
employee_resign_date,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
employee_join_date,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
consent_flag,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
consent_channel,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
consent_version,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
consent_date,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
passport_exp,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
birth_date,profiles.dateOfBirth,true,false,insight.ms_member,false,2025-10-10 00:00:00,,dateOfBirth,
age,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
mobile_country_code,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_twd,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_twd,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_twd,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_twd,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_staff,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
register_branch,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
privacy_flag,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
data_invalid_flag,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_cfr,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_cfr,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_cfr,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_cfr,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_twd_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_the1_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
updated_date,timestamp,true,false,insight.ms_member,false,2025-10-10 00:00:00,,timestamp,
insurance_not_send,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_id,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
member_number,profiles.memberId,true,false,insight.ms_member,false,2025-10-10 00:00:00,,memberId,
nationality,profiles.nationalityId,true,false,insight.ms_member,false,2025-10-10 00:00:00,,nationalityId,
country,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_hws,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_hws,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_hws,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_hws,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
education,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
monthly_income,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
prefer_lang,profiles.languagePrefer,true,false,insight.ms_member,false,2025-10-10 00:00:00,,languagePrefer,
customer_type,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_email_cfm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_cfm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_cfm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_cfm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_cfr,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_rbs_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_ssp_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_cpn_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_cfr_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_cfm_line,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_b2s,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_b2s,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_b2s,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_hws,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_address_ofm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_eng_ofm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_send_sms_thai_ofm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
is_call_cfm,,false,false,insight.ms_member,false,2025-10-10 00:00:00,,,
,personaId,true,false,insight.events_consents,true,2025-12-04 00:00:00,,personasId,string
,profiles.memberId,true,false,insight.events_consents,true,2025-12-04 00:00:00,,memberId,string
,consents,true,false,insight.events_consents,true,2025-12-04 00:00:00,,consents,string
,,true,false,insight.events_consents,true,2025-12-04 00:00:00,CURRENT_DATE(),processDate,date
